"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Year","Deaths","Population","Crude Rate"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","15","2020","8","38502","20.78"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","15","","8","38502","20.78"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","15","2020","5","134724","3.71"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","15","","5","134724","3.71"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","16","2020","712","1618281","44"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","16","","712","1618281","44"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","16","2020","269","342973","78.43"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","16","","269","342973","78.43"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","16","2020","18","38469","46.79"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","16","","18","38469","46.79"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","16","2020","30","136429","21.99"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","16","","30","136429","21.99"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","16","2020","238","1545642","15.4"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","16","","238","1545642","15.4"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","16","2020","69","332792","20.73"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","16","","69","332792","20.73"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","16","2020","13","37635","34.54"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","16","","13","37635","34.54"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","16","2020","13","135653","9.58"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","16","","13","135653","9.58"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","17","2020","893","1609254","55.49"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","17","","893","1609254","55.49"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","17","2020","402","339896","118.27"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","17","","402","339896","118.27"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","17","2020","27","38119","70.83"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","17","","27","38119","70.83"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","17","2020","25","136720","18.29"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","17","","25","136720","18.29"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","17","2020","280","1537668","18.21"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","17","","280","1537668","18.21"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","17","2020","99","330255","29.98"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","17","","99","330255","29.98"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","17","2020","8","36869","21.7"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","17","","8","36869","21.7"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","17","2020","14","136112","10.29"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","17","","14","136112","10.29"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","18","2020","1247","1604858","77.7"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","18","","1247","1604858","77.7"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","18","2020","658","344550","190.97"
